region,state,,,,
North Central,Niger,,,,
North Central,Kogi,,,,
North Central,Benue,,,,
North Central,Plateau,,,,
North Central,Nassarawa,,,,
North Central,Kwara,,,,
North Central,Abuja,,,,
North East,Bauchi,,,,
North East,Borno,,,,
North East,Taraba,,,,
North East,Adamawa,,,,
North East,Gombe,,,,
North East,Yobe,,,,
North East,Lake,,,,
North West,Zamfara,,,,
North West,Sokoto,,,,
North West,Kaduna,,,,
North West,Kebbi,,,,
North West,Katsina,,,,
North West,Jigawa,,,,
North West,Kano,,,,
South East,Enugu,,,,
South East,Imo,,,,
South East,Ebonyi,,,,
South East,Anambra,,,,
South East,Abia,,,,
South West,Lagos,,,,
South West,Ekiti,,,,
South West,Osun,,,,
South West,Oyo,,,,
South West,Ogun,,,,
South West,Ondo,,,,
South South,Rivers,,,,
South South,Cross River,,,,
South South,Delta,,,,
South South,Edo,,,,
South South,Akwa Ibom,,,,
South South,Bayelsa,,,,
